Reg;Measurer;Species;Experiment;Year;Month;Day;Hour;Campaing;Tree_ID;Treatment;Type;PsiLeaf
1;Dani_Nadal-Sala;Pinus_sylvestris;EarlyLateStress;2020;7;24;4;1;C15;C;PD;-0.4
2;Dani_Nadal-Sala;Pinus_sylvestris;EarlyLateStress;2020;7;24;4;1;C25;C;PD;-0.4
3;Dani_Nadal-Sala;Pinus_sylvestris;EarlyLateStress;2020;7;24;4;1;C28;C;PD;-0.35
4;Dani_Nadal-Sala;Pinus_sylvestris;EarlyLateStress;2020;7;24;4;1;C5;C;PD;-0.4
5;Dani_Nadal-Sala;Pinus_sylvestris;EarlyLateStress;2020;7;24;4;1;E33;E;PD;-0.43
6;Dani_Nadal-Sala;Pinus_sylvestris;EarlyLateStress;2020;7;24;4;1;E39;E;PD;-0.4
7;Dani_Nadal-Sala;Pinus_sylvestris;EarlyLateStress;2020;7;24;4;1;E43;E;PD;-0.47
8;Dani_Nadal-Sala;Pinus_sylvestris;EarlyLateStress;2020;7;24;4;1;E48;E;PD;-0.4
9;Dani_Nadal-Sala;Pinus_sylvestris;EarlyLateStress;2020;7;24;4;1;EL11;EL;PD;-0.4
10;Dani_Nadal-Sala;Pinus_sylvestris;EarlyLateStress;2020;7;24;4;1;EL13;EL;PD;-0.4
11;Dani_Nadal-Sala;Pinus_sylvestris;EarlyLateStress;2020;7;24;4;1;EL20;EL;PD;-0.53
12;Dani_Nadal-Sala;Pinus_sylvestris;EarlyLateStress;2020;7;24;4;1;EL46;EL;PD;-0.45
13;Dani_Nadal-Sala;Pinus_sylvestris;EarlyLateStress;2020;7;24;4;1;L16;L;PD;-0.35
14;Dani_Nadal-Sala;Pinus_sylvestris;EarlyLateStress;2020;7;24;4;1;L18;L;PD;-0.35
15;Dani_Nadal-Sala;Pinus_sylvestris;EarlyLateStress;2020;7;24;4;1;L23;L;PD;-0.45
16;Dani_Nadal-Sala;Pinus_sylvestris;EarlyLateStress;2020;7;24;4;1;L24;L;PD;-0.5
17;Dani_Nadal-Sala;Pinus_sylvestris;EarlyLateStress;2020;7;24;8.5;1;C15;C;R;-0.4
18;Dani_Nadal-Sala;Pinus_sylvestris;EarlyLateStress;2020;7;24;8.5;1;C25;C;R;-0.5
19;Dani_Nadal-Sala;Pinus_sylvestris;EarlyLateStress;2020;7;24;8.5;1;C28;C;R;-0.5
20;Dani_Nadal-Sala;Pinus_sylvestris;EarlyLateStress;2020;7;24;8.5;1;C5;C;R;-0.4
21;Dani_Nadal-Sala;Pinus_sylvestris;EarlyLateStress;2020;7;24;8.5;1;E33;E;R;-0.4
22;Dani_Nadal-Sala;Pinus_sylvestris;EarlyLateStress;2020;7;24;8.5;1;E39;E;R;-0.4
23;Dani_Nadal-Sala;Pinus_sylvestris;EarlyLateStress;2020;7;24;8.5;1;E43;E;R;-0.65
24;Dani_Nadal-Sala;Pinus_sylvestris;EarlyLateStress;2020;7;24;8.5;1;E48;E;R;-0.35
25;Dani_Nadal-Sala;Pinus_sylvestris;EarlyLateStress;2020;7;24;8.5;1;EL11;EL;R;-0.4
26;Dani_Nadal-Sala;Pinus_sylvestris;EarlyLateStress;2020;7;24;8.5;1;EL13;EL;R;-0.35
27;Dani_Nadal-Sala;Pinus_sylvestris;EarlyLateStress;2020;7;24;8.5;1;EL20;EL;R;-0.4
28;Dani_Nadal-Sala;Pinus_sylvestris;EarlyLateStress;2020;7;24;8.5;1;EL46;EL;R;-0.4
29;Dani_Nadal-Sala;Pinus_sylvestris;EarlyLateStress;2020;7;24;8.5;1;L16;L;R;-0.5
30;Dani_Nadal-Sala;Pinus_sylvestris;EarlyLateStress;2020;7;24;8.5;1;L18;L;R;-0.4
31;Dani_Nadal-Sala;Pinus_sylvestris;EarlyLateStress;2020;7;24;8.5;1;L23;L;R;-0.45
32;Dani_Nadal-Sala;Pinus_sylvestris;EarlyLateStress;2020;7;24;8.5;1;L24;L;R;-0.4
